time,Solar8000/ETCO2,SNUADC/CVP,SNUADC/ECG_II,SNUADC/ECG_V5,Solar8000/PLETH_SPO2,Solar8000/ART_SBP,Solar8000/HR,Solar8000/RR_CO2,Solar8000/CVP,Solar8000/ART_DBP,Solar8000/PLETH_HR,SNUADC/ART,Solar8000/ART_MBP
0,,NaN,NaN,NaN,,,,,,,,NaN,
1,,-495.6260070800781,-4.9562602043151855,-4.9562602043151855,,,,,,,,-499.346923828125,
2,,-495.6240234375,-4.956240177154541,-4.956240177154541,,,,,,,,-499.344970703125,
3,,NaN,NaN,NaN,,,,,,,,NaN,
4,,NaN,NaN,NaN,,,,,,,,NaN,
5,0,NaN,NaN,NaN,95,-19,84,,-30,-19,73,NaN,-19
6,,NaN,NaN,NaN,,,,,,,,NaN,
7,0,NaN,NaN,NaN,95,-18,84,,-30,-18,73,NaN,-18
8,,NaN,NaN,NaN,,,,,,,,NaN,
9,0,NaN,NaN,NaN,96,-18,84,,-30,-18,73,NaN,-18
10,,NaN,NaN,NaN,,,,,,,,NaN,
11,0,NaN,NaN,NaN,96,-19,83,,-30,-19,73,NaN,-19
12,,NaN,NaN,NaN,,,,,,,,NaN,
13,0,NaN,NaN,NaN,96,-19,83,,-30,-19,73,NaN,-19
14,,NaN,NaN,NaN,,,,,,,,NaN,
15,0,NaN,NaN,NaN,95,-16,83,,-30,-21,73,NaN,-19
16,,NaN,NaN,NaN,,,,,,,,NaN,
17,0,NaN,NaN,NaN,96,-17,83,,-30,-20,73,NaN,-19
18,,NaN,NaN,NaN,,,,,,,,NaN,
19,0,NaN,NaN,NaN,95,-17,83,,-30,-20,73,NaN,-19
20,,NaN,NaN,NaN,,,,,,,,NaN,
21,0,NaN,NaN,NaN,95,-17,83,,-30,-20,74,NaN,-19
22,,NaN,NaN,NaN,,,,,,,,NaN,
23,0,NaN,NaN,NaN,95,-17,83,,-30,-20,74,NaN,-19
24,,NaN,NaN,NaN,,,,,,,,NaN,
25,0,NaN,NaN,NaN,95,-19,83,,-30,-19,75,NaN,-19
26,,NaN,NaN,NaN,,,,,,,,NaN,
27,0,NaN,NaN,NaN,96,-19,83,,-30,-19,74,NaN,-19
28,,NaN,NaN,NaN,,,,,,,,NaN,
29,0,NaN,NaN,NaN,96,-19,83,,-30,-19,73,NaN,-19
30,,NaN,NaN,NaN,,,,,,,,NaN,
31,0,NaN,NaN,NaN,96,-19,83,,-30,-19,73,NaN,-19
32,,NaN,NaN,NaN,,,,,,,,NaN,
33,0,NaN,NaN,NaN,96,-18,83,,-30,-18,73,NaN,-18
34,,NaN,NaN,NaN,,,,,,,,NaN,
35,0,NaN,NaN,NaN,96,-18,83,,-30,-18,73,NaN,-18
36,,NaN,NaN,NaN,,,,,,,,NaN,
37,0,NaN,NaN,NaN,96,-18,73,,-30,-18,73,NaN,-18
38,,NaN,NaN,NaN,,,,,,,,NaN,
39,0,NaN,NaN,NaN,95,-18,73,,-30,-18,73,NaN,-18
40,,NaN,NaN,NaN,,,,,,,,NaN,
41,0,NaN,NaN,NaN,96,-19,73,,-30,-19,73,NaN,-19
42,,NaN,NaN,NaN,,,,,,,,NaN,
43,0,NaN,NaN,NaN,96,-19,73,,-30,-19,74,NaN,-19
44,,NaN,NaN,NaN,,,,,,,,NaN,
45,0,NaN,NaN,NaN,96,-19,74,,-30,-19,74,NaN,-19
46,,NaN,NaN,NaN,,,,,,,,NaN,
47,0,NaN,NaN,NaN,95,-19,75,,-30,-19,75,NaN,-19
48,,NaN,NaN,NaN,,,,,,,,NaN,
49,0,NaN,NaN,NaN,95,-19,74,,-30,-19,75,NaN,-19
50,,NaN,NaN,NaN,,,,,,,,NaN,
51,0,NaN,NaN,NaN,95,-19,74,,-30,-19,74,NaN,-19
52,,NaN,NaN,NaN,,,,,,,,NaN,
53,0,NaN,NaN,NaN,95,-19,73,,-30,-19,74,NaN,-19
54,,NaN,NaN,NaN,,,,,,,,NaN,
55,0,NaN,NaN,NaN,95,-19,73,,-30,-19,73,NaN,-19
56,,NaN,NaN,NaN,,,,,,,,NaN,
57,0,NaN,NaN,NaN,95,-19,73,,-30,-19,73,NaN,-19
58,,NaN,NaN,NaN,,,,,,,,NaN,
59,0,NaN,NaN,NaN,95,-19,73,,-30,-19,74,NaN,-19
60,,NaN,NaN,NaN,,,,,,,,NaN,
61,0,NaN,NaN,NaN,95,-18,74,,-30,-18,74,NaN,-18
62,,NaN,NaN,NaN,,,,,,,,NaN,
63,0,NaN,NaN,NaN,95,-18,74,,-30,-18,75,NaN,-18
64,,NaN,NaN,NaN,,,,,,,,NaN,
65,0,NaN,NaN,NaN,95,-19,74,,-30,-19,75,NaN,-19
66,,NaN,NaN,NaN,,,,,,,,NaN,
67,0,NaN,NaN,NaN,95,-19,74,,-30,-19,74,NaN,-19
68,,NaN,NaN,NaN,,,,,,,,NaN,
