time,SNUADC/ECG_II,Solar8000/HR,Solar8000/ART_SBP,Solar8000/CVP,Solar8000/PLETH_SPO2,Solar8000/ART_MBP,Solar8000/RR_CO2,Solar8000/ART_DBP,SNUADC/CVP,SNUADC/ART,Solar8000/ETCO2,Solar8000/PLETH_HR,SNUADC/ECG_V5
0,NaN,,,,,,,,NaN,NaN,,,NaN
1,-4.9562602043151855,,,,,,,,-495.6260070800781,-499.346923828125,,,-4.9562602043151855
2,-4.956240177154541,,,,,,,,-495.6240234375,-499.344970703125,,,-4.956240177154541
3,NaN,101,22,278,93,22,,22,NaN,NaN,0,102,NaN
4,NaN,,,,,,,,NaN,NaN,,,NaN
5,NaN,100,22,278,94,22,,22,NaN,NaN,0,101,NaN
6,NaN,,,,,,,,NaN,NaN,,,NaN
7,NaN,100,22,278,94,22,,22,NaN,NaN,0,102,NaN
8,NaN,,,,,,,,NaN,NaN,,,NaN
9,NaN,101,22,278,94,22,,22,NaN,NaN,0,101,NaN
10,NaN,,,,,,,,NaN,NaN,,,NaN
11,NaN,102,22,278,93,22,,22,NaN,NaN,0,103,NaN
12,NaN,,,,,,,,NaN,NaN,,,NaN
13,NaN,102,22,278,93,22,,22,NaN,NaN,0,102,NaN
14,NaN,,,,,,,,NaN,NaN,,,NaN
15,NaN,101,22,278,93,22,,22,NaN,NaN,0,102,NaN
16,NaN,,,,,,,,NaN,NaN,,,NaN
17,NaN,100,22,278,93,22,,22,NaN,NaN,0,100,NaN
18,NaN,,,,,,,,NaN,NaN,,,NaN
19,NaN,100,22,278,92,22,,22,NaN,NaN,0,101,NaN
20,NaN,,,,,,,,NaN,NaN,,,NaN
21,NaN,100,22,278,92,22,,22,NaN,NaN,0,100,NaN
22,NaN,,,,,,,,NaN,NaN,,,NaN
23,NaN,100,22,278,92,22,,22,NaN,NaN,0,101,NaN
24,NaN,,,,,,,,NaN,NaN,,,NaN
25,NaN,100,22,278,92,22,,22,NaN,NaN,0,100,NaN
26,NaN,,,,,,,,NaN,NaN,,,NaN
27,NaN,100,22,278,92,22,,22,NaN,NaN,0,101,NaN
28,NaN,,,,,,,,NaN,NaN,,,NaN
29,NaN,100,22,278,93,22,,22,NaN,NaN,0,101,NaN
30,NaN,,,,,,,,NaN,NaN,,,NaN
31,NaN,101,22,278,93,22,,22,NaN,NaN,0,101,NaN
32,NaN,,,,,,,,NaN,NaN,,,NaN
33,NaN,101,22,278,94,22,,22,NaN,NaN,0,102,NaN
34,NaN,,,,,,,,NaN,NaN,,,NaN
35,NaN,101,22,278,95,22,,22,NaN,NaN,0,101,NaN
36,NaN,,,,,,,,NaN,NaN,,,NaN
37,NaN,100,22,278,95,22,,22,NaN,NaN,0,101,NaN
38,NaN,,,,,,,,NaN,NaN,,,NaN
39,NaN,100,22,278,96,22,,22,NaN,NaN,0,101,NaN
40,NaN,,,,,,,,NaN,NaN,,,NaN
41,NaN,101,22,278,96,22,,22,NaN,NaN,0,101,NaN
42,NaN,,,,,,,,NaN,NaN,,,NaN
43,NaN,100,22,277,96,22,,22,NaN,NaN,0,100,NaN
44,NaN,,,,,,,,NaN,NaN,,,NaN
45,NaN,99,22,277,97,22,,22,NaN,NaN,0,100,NaN
46,NaN,,,,,,,,NaN,NaN,,,NaN
47,NaN,98,22,277,97,22,,22,NaN,NaN,0,99,NaN
48,NaN,,,,,,,,NaN,NaN,,,NaN
49,NaN,99,22,277,97,22,,22,NaN,NaN,0,99,NaN
50,NaN,,,,,,,,NaN,NaN,,,NaN
51,NaN,98,22,277,97,22,,22,NaN,NaN,0,98,NaN
52,NaN,,,,,,,,NaN,NaN,,,NaN
53,NaN,98,22,277,97,22,,22,NaN,NaN,0,99,NaN
54,NaN,,,,,,,,NaN,NaN,,,NaN
55,NaN,98,23,277,97,23,,23,NaN,NaN,0,98,NaN
56,NaN,,,,,,,,NaN,NaN,,,NaN
57,NaN,98,23,277,97,23,,23,NaN,NaN,0,99,NaN
58,NaN,,,,,,,,NaN,NaN,,,NaN
59,NaN,99,23,277,97,23,,23,NaN,NaN,0,99,NaN
60,NaN,,,,,,,,NaN,NaN,,,NaN
61,NaN,99,23,277,97,23,,23,NaN,NaN,0,100,NaN
62,NaN,,,,,,,,NaN,NaN,,,NaN
63,NaN,100,23,277,97,23,,23,NaN,NaN,0,101,NaN
64,NaN,,,,,,,,NaN,NaN,,,NaN
65,NaN,101,23,277,97,23,,23,NaN,NaN,0,101,NaN
66,NaN,,,,,,,,NaN,NaN,,,NaN
67,NaN,102,22,277,97,22,,22,NaN,NaN,0,102,NaN
68,NaN,,,,,,,,NaN,NaN,,,NaN
69,NaN,102,22,277,97,22,,22,NaN,NaN,0,102,NaN
70,NaN,,,,,,,,NaN,NaN,,,NaN
71,NaN,102,22,277,97,22,,22,NaN,NaN,0,102,NaN
72,NaN,,,,,,,,NaN,NaN,,,NaN
73,NaN,102,22,277,97,22,,22,NaN,NaN,0,103,NaN
74,NaN,,,,,,,,NaN,NaN,,,NaN
75,NaN,103,22,277,97,22,,22,NaN,NaN,0,104,NaN
76,NaN,,,,,,,,NaN,NaN,,,NaN
77,NaN,104,22,277,98,22,,22,NaN,NaN,0,105,NaN
78,NaN,,,,,,,,NaN,NaN,,,NaN
79,NaN,104,22,277,98,22,,22,NaN,NaN,0,105,NaN
80,NaN,,,,,,,,NaN,NaN,,,NaN
81,NaN,104,22,277,98,22,,22,NaN,NaN,0,105,NaN
82,NaN,,,,,,,,NaN,NaN,,,NaN
83,NaN,104,22,277,98,22,,22,NaN,NaN,0,104,NaN
84,NaN,,,,,,,,NaN,NaN,,,NaN
85,NaN,104,22,277,98,22,,22,NaN,NaN,,104,NaN
86,NaN,,,,,,,,NaN,NaN,,,NaN
87,NaN,104,22,277,98,22,,22,NaN,NaN,,104,NaN
88,NaN,,,,,,,,NaN,NaN,,,NaN
89,NaN,104,22,277,98,22,,22,NaN,NaN,,104,NaN
90,NaN,,,,,,,,NaN,NaN,,,NaN
91,NaN,103,22,277,98,22,,22,NaN,NaN,,104,NaN
92,NaN,,,,,,,,NaN,NaN,,,NaN
93,NaN,102,22,277,97,22,,22,NaN,NaN,,104,NaN
94,NaN,,,,,,,,NaN,NaN,,,NaN
95,NaN,101,22,277,97,22,,22,NaN,NaN,,104,NaN
96,NaN,,,,,,,,NaN,NaN,,,NaN
97,NaN,101,22,277,97,22,,22,NaN,NaN,,104,NaN
98,NaN,,,,,,,,NaN,NaN,,,NaN
99,NaN,101,22,277,97,22,,22,NaN,NaN,,103,NaN
100,NaN,,,,,,,,NaN,NaN,,,NaN
101,NaN,101,22,277,97,22,,22,NaN,NaN,,103,NaN
102,NaN,,,,,,,,NaN,NaN,,,NaN
103,NaN,102,22,277,98,22,,22,NaN,NaN,,102,NaN
104,NaN,,,,,,,,NaN,NaN,,,NaN
105,NaN,102,22,277,99,22,,22,NaN,NaN,,103,NaN
106,NaN,,,,,,,,NaN,NaN,,,NaN
107,NaN,102,22,277,99,22,,22,NaN,NaN,,103,NaN
108,NaN,,,,,,,,NaN,NaN,,,NaN
109,NaN,103,22,277,99,22,,22,NaN,NaN,,104,NaN
110,NaN,,,,,,,,NaN,NaN,,,NaN
111,NaN,104,22,277,99,22,,22,NaN,NaN,,104,NaN
112,NaN,,,,,,,,NaN,NaN,,,NaN
113,NaN,104,22,277,99,22,,22,NaN,NaN,,104,NaN
114,NaN,,,,,,,,NaN,NaN,,,NaN
115,NaN,104,22,277,99,22,,22,NaN,NaN,,105,NaN
116,NaN,,,,,,,,NaN,NaN,,,NaN
117,NaN,104,22,277,99,22,,22,NaN,NaN,,105,NaN
118,NaN,,,,,,,,NaN,NaN,,,NaN
119,NaN,104,22,277,100,22,,22,NaN,NaN,,105,NaN
120,NaN,,,,,,,,NaN,NaN,,,NaN
121,NaN,104,22,277,100,22,,22,NaN,NaN,,105,NaN
122,NaN,,,,,,,,NaN,NaN,,,NaN
123,NaN,104,22,277,99,22,,22,NaN,NaN,,105,NaN
124,NaN,,,,,,,,NaN,NaN,,,NaN
125,NaN,104,22,277,99,22,,22,NaN,NaN,,105,NaN
126,NaN,,,,,,,,NaN,NaN,,,NaN
127,NaN,104,22,277,100,22,,22,NaN,NaN,,104,NaN
128,NaN,,,,,,,,NaN,NaN,,,NaN
129,NaN,104,22,277,100,22,,22,NaN,NaN,,105,NaN
130,NaN,,,,,,,,NaN,NaN,,,NaN
131,NaN,104,43,277,100,22,,16,NaN,NaN,,105,NaN
132,NaN,,,,,,,,NaN,NaN,,,NaN
133,NaN,104,40,277,99,18,,-2,NaN,NaN,,105,NaN
134,NaN,,,,,,,,NaN,NaN,,,NaN
135,NaN,104,34,277,99,19,,1,NaN,NaN,,105,NaN
136,NaN,,,,,,,,NaN,NaN,,,NaN
137,NaN,104,30,277,99,19,,11,NaN,NaN,,104,NaN
138,NaN,,,,,,,,NaN,NaN,,,NaN
139,NaN,103,26,277,99,20,,13,NaN,NaN,,104,NaN
140,NaN,,,,,,,,NaN,NaN,,,NaN
141,NaN,104,26,277,99,20,,13,NaN,NaN,,104,NaN
142,NaN,,,,,,,,NaN,NaN,,,NaN
143,NaN,104,30,277,99,19,,7,NaN,NaN,,104,NaN
144,NaN,,,,,,,,NaN,NaN,,,NaN
145,NaN,104,30,277,99,20,,11,NaN,NaN,,104,NaN
146,NaN,,,,,,,,NaN,NaN,,,NaN
147,NaN,103,30,277,99,20,,11,NaN,NaN,,104,NaN
148,NaN,,,,,,,,NaN,NaN,,,NaN
149,NaN,103,21,277,99,21,,21,NaN,NaN,,104,NaN
150,NaN,,,,,,,,NaN,NaN,,,NaN
151,NaN,103,27,277,99,21,,11,NaN,NaN,,104,NaN
152,NaN,,,,,,,,NaN,NaN,,,NaN
153,NaN,103,27,277,99,21,,11,NaN,NaN,,103,NaN
154,NaN,,,,,,,,NaN,NaN,,,NaN
155,NaN,102,21,277,99,21,,21,NaN,NaN,,103,NaN
156,NaN,,,,,,,,NaN,NaN,,,NaN
157,NaN,102,25,277,99,20,,10,NaN,NaN,,103,NaN
158,NaN,,,,,,,,NaN,NaN,,,NaN
159,NaN,102,25,277,99,20,,10,NaN,NaN,,103,NaN
160,NaN,,,,,,,,NaN,NaN,,,NaN
161,NaN,103,25,277,99,20,,10,NaN,NaN,,103,NaN
162,NaN,,,,,,,,NaN,NaN,,,NaN
163,NaN,103,21,277,99,21,,21,NaN,NaN,,103,NaN
164,NaN,,,,,,,,NaN,NaN,,,NaN
165,NaN,103,21,277,99,21,,21,NaN,NaN,,103,NaN
166,NaN,,,,,,,,NaN,NaN,,,NaN
167,NaN,102,21,277,99,21,,21,NaN,NaN,,103,NaN
168,NaN,,,,,,,,NaN,NaN,,,NaN
169,NaN,102,21,277,99,21,,21,NaN,NaN,,102,NaN
170,NaN,,,,,,,,NaN,NaN,,,NaN
171,NaN,101,25,276,99,20,,16,NaN,NaN,,102,NaN
172,NaN,,,,,,,,NaN,NaN,,,NaN
173,NaN,101,24,276,99,19,,13,NaN,NaN,,102,NaN
174,NaN,,,,,,,,NaN,NaN,,,NaN
175,NaN,102,70,277,99,27,,-23,NaN,NaN,,102,NaN
176,NaN,,,,,,,,NaN,NaN,,,NaN
177,NaN,101,57,277,99,18,,-19,NaN,NaN,,102,NaN
178,NaN,,,,,,,,NaN,NaN,,,NaN
179,NaN,101,,277,99,3,,,NaN,NaN,,102,NaN
180,NaN,,,,,,,,NaN,NaN,,,NaN
181,NaN,101,,277,99,5,,,NaN,NaN,,101,NaN
182,NaN,,,,,,,,NaN,NaN,,,NaN
183,NaN,101,,277,99,2,,,NaN,NaN,,101,NaN
184,NaN,,,,,,,,NaN,NaN,,,NaN
185,NaN,100,,277,99,-19,,,NaN,NaN,,101,NaN
186,NaN,,,,,,,,NaN,NaN,,,NaN
187,NaN,100,,277,99,-19,,,NaN,NaN,,100,NaN
188,NaN,,,,,,,,NaN,NaN,,,NaN
189,NaN,100,,277,99,-7,,,NaN,NaN,,101,NaN
190,NaN,,,,,,,,NaN,NaN,,,NaN
191,NaN,100,45,277,99,-2,,-49,NaN,NaN,,100,NaN
192,NaN,,,,,,,,NaN,NaN,,,NaN
193,NaN,100,29,277,99,-2,,-26,NaN,NaN,,101,NaN
194,NaN,,,,,,,,NaN,NaN,,,NaN
195,NaN,100,29,277,99,-2,,-26,NaN,NaN,,100,NaN
196,NaN,,,,,,,,NaN,NaN,,,NaN
197,NaN,100,99,277,99,50,,66,NaN,NaN,,100,NaN
198,NaN,,,,,,,,NaN,NaN,,,NaN
199,NaN,100,105,276,99,74,,77,NaN,NaN,,100,NaN
200,NaN,,,,,,,,NaN,NaN,,,NaN
201,NaN,99,114,276,99,88,,77,NaN,NaN,,100,NaN
202,NaN,,,,,,,,NaN,NaN,,,NaN
203,NaN,99,109,276,99,91,,79,NaN,NaN,,99,NaN
204,NaN,,,,,,,,NaN,NaN,,,NaN
205,NaN,99,107,276,99,95,,80,NaN,NaN,,99,NaN
206,NaN,,,,,,,,NaN,NaN,,,NaN
207,NaN,98,128,276,99,95,,73,NaN,NaN,,99,NaN
208,NaN,,,,,,,,NaN,NaN,,,NaN
209,NaN,98,141,276,99,96,,61,NaN,NaN,,99,NaN
210,NaN,,,,,,,,NaN,NaN,,,NaN
211,NaN,98,136,276,99,96,,73,NaN,NaN,,99,NaN
212,NaN,,,,,,,,NaN,NaN,,,NaN
213,NaN,98,123,276,99,95,,75,NaN,NaN,,99,NaN
214,NaN,,,,,,,,NaN,NaN,,,NaN
215,NaN,98,113,276,99,95,,79,NaN,NaN,,99,NaN
216,NaN,,,,,,,,NaN,NaN,,,NaN
217,NaN,98,100,276,,93,,85,NaN,NaN,,,NaN
218,NaN,,,,,,,,NaN,NaN,,,NaN
219,NaN,98,101,276,,94,,89,NaN,NaN,,,NaN
220,NaN,,,,,,,,NaN,NaN,,,NaN
221,NaN,98,101,276,98,95,,92,NaN,NaN,,99,NaN
222,NaN,,,,,,,,NaN,NaN,,,NaN
223,NaN,98,101,276,97,95,,92,NaN,NaN,,100,NaN
224,NaN,,,,,,,,NaN,NaN,,,NaN
225,NaN,99,106,276,97,106,,106,NaN,NaN,,99,NaN
226,NaN,,,,,,,,NaN,NaN,,,NaN
227,NaN,99,,276,99,106,,,NaN,NaN,,100,NaN
228,NaN,,,,,,,,NaN,NaN,,,NaN
229,NaN,100,,276,99,120,,,NaN,NaN,,100,NaN
230,NaN,,,,,,,,NaN,NaN,,,NaN
231,NaN,101,,276,99,120,,,NaN,NaN,,102,NaN
232,NaN,,,,,,,,NaN,NaN,,,NaN
233,NaN,102,,276,99,121,,,NaN,NaN,,102,NaN
234,NaN,,,,,,,,NaN,NaN,,,NaN
235,NaN,103,,276,99,123,,,NaN,NaN,,103,NaN
236,NaN,,,,,,,,NaN,NaN,,,NaN
237,NaN,103,,276,99,128,,,NaN,NaN,7,104,NaN
238,NaN,,,,,,,,NaN,NaN,,,NaN
239,NaN,104,,276,99,128,,,NaN,NaN,7,105,NaN
240,NaN,,,,,,,,NaN,NaN,,,NaN
241,NaN,105,138,276,99,129,,123,NaN,NaN,7,106,NaN
242,NaN,,,,,,,,NaN,NaN,,,NaN
243,NaN,105,149,276,99,125,,102,NaN,NaN,7,106,NaN
244,NaN,,,,,,,,NaN,NaN,,,NaN
245,NaN,105,153,276,99,125,,102,NaN,NaN,46,106,NaN
246,NaN,,,,,,,,NaN,NaN,,,NaN
247,NaN,105,153,276,99,125,,102,NaN,NaN,46,106,NaN
248,NaN,,,,,,,,NaN,NaN,,,NaN
249,NaN,106,134,276,99,130,,130,NaN,NaN,46,106,NaN
250,NaN,,,,,,,,NaN,NaN,,,NaN
251,NaN,106,137,276,99,133,5,132,NaN,NaN,47,107,NaN
252,NaN,,,,,,,,NaN,NaN,,,NaN
253,NaN,106,137,276,99,134,5,133,NaN,NaN,47,106,NaN
254,NaN,,,,,,,,NaN,NaN,,,NaN
255,NaN,106,142,276,99,138,5,138,NaN,NaN,47,106,NaN
256,NaN,,,,,,,,NaN,NaN,,,NaN
257,NaN,106,142,276,99,139,5,139,NaN,NaN,47,106,NaN
258,NaN,,,,,,,,NaN,NaN,,,NaN
259,NaN,105,147,276,99,142,4,142,NaN,NaN,46,106,NaN
260,NaN,,,,,,,,NaN,NaN,,,NaN
261,NaN,105,,276,99,142,4,,NaN,NaN,46,106,NaN
262,NaN,,,,,,,,NaN,NaN,,,NaN
263,NaN,105,,276,99,151,4,,NaN,NaN,46,106,NaN
264,NaN,,,,,,,,NaN,NaN,,,NaN
265,NaN,114,,276,99,151,4,,NaN,NaN,47,106,NaN
266,NaN,,,,,,,,NaN,NaN,,,NaN
267,NaN,114,,276,99,155,4,,NaN,NaN,47,107,NaN
268,NaN,,,,,,,,NaN,NaN,,,NaN
269,NaN,115,,276,99,166,4,,NaN,NaN,47,107,NaN
