time,Solar8000/ETCO2,Solar8000/PLETH_SPO2,Solar8000/ART_SBP,SNUADC/ECG_V5,Solar8000/HR,SNUADC/ECG_II,Solar8000/PLETH_HR,Solar8000/RR_CO2,Solar8000/ART_MBP,Solar8000/CVP,Solar8000/ART_DBP,SNUADC/ART,SNUADC/CVP
0,,,,NaN,,NaN,,,,,,NaN,NaN
1,,,,-4.9562602043151855,,-4.9562602043151855,,,,,,-499.346923828125,-495.6260070800781
2,,,,-4.956240177154541,,-4.956240177154541,,,,,,-499.344970703125,-495.6240234375
3,0,87,,NaN,78,NaN,81,,21,-6,,NaN,NaN
4,,,,NaN,,NaN,,,,,,NaN,NaN
5,0,87,,NaN,74,NaN,81,,21,-6,,NaN,NaN
6,,,,NaN,,NaN,,,,,,NaN,NaN
7,0,86,,NaN,70,NaN,79,,21,-6,,NaN,NaN
8,,,,NaN,,NaN,,,,,,NaN,NaN
9,0,86,,NaN,,NaN,79,,21,-6,,NaN,NaN
10,,,,NaN,,NaN,,,,,,NaN,NaN
11,0,,,NaN,,NaN,,,21,-5,,NaN,NaN
12,,,,NaN,,NaN,,,,,,NaN,NaN
13,0,,,NaN,,NaN,,,21,-5,,NaN,NaN
14,,,,NaN,,NaN,,,,,,NaN,NaN
15,0,,,NaN,68,NaN,,,21,-5,,NaN,NaN
16,,,,NaN,,NaN,,,,,,NaN,NaN
17,0,,,NaN,68,NaN,,,21,-5,,NaN,NaN
18,,,,NaN,,NaN,,,,,,NaN,NaN
19,0,,,NaN,73,NaN,,,21,-5,,NaN,NaN
20,,,,NaN,,NaN,,,,,,NaN,NaN
21,0,77,,NaN,78,NaN,87,,21,-5,,NaN,NaN
22,,,,NaN,,NaN,,,,,,NaN,NaN
23,0,76,,NaN,87,NaN,103,,22,-6,,NaN,NaN
24,,,,NaN,,NaN,,,,,,NaN,NaN
25,0,76,,NaN,90,NaN,103,,22,-6,,NaN,NaN
26,,,,NaN,,NaN,,,,,,NaN,NaN
27,0,76,,NaN,88,NaN,108,,22,-6,,NaN,NaN
28,,,,NaN,,NaN,,,,,,NaN,NaN
29,0,76,,NaN,82,NaN,108,,22,-6,,NaN,NaN
30,,,,NaN,,NaN,,,,,,NaN,NaN
31,0,75,,NaN,79,NaN,99,,22,-6,,NaN,NaN
32,,,,NaN,,NaN,,,,,,NaN,NaN
33,0,75,,NaN,75,NaN,99,,22,-6,,NaN,NaN
34,,,,NaN,,NaN,,,,,,NaN,NaN
35,0,76,,NaN,73,NaN,104,,21,-6,,NaN,NaN
36,,,,NaN,,NaN,,,,,,NaN,NaN
37,0,76,,NaN,73,NaN,104,,21,-6,,NaN,NaN
38,,,,NaN,,NaN,,,,,,NaN,NaN
39,0,76,,NaN,70,NaN,104,,21,-6,,NaN,NaN
40,,,,NaN,,NaN,,,,,,NaN,NaN
41,0,84,,NaN,69,NaN,104,,21,-6,,NaN,NaN
42,,,,NaN,,NaN,,,,,,NaN,NaN
43,0,88,,NaN,68,NaN,113,,21,-6,,NaN,NaN
44,,,,NaN,,NaN,,,,,,NaN,NaN
45,0,99,,NaN,69,NaN,96,,21,-6,,NaN,NaN
46,,,,NaN,,NaN,,,,,,NaN,NaN
